route_key_hash,route_key,source,account_code,provider,model,egress_id,epoch,created_at,updated_at
TOKEN-GHSHUUZ6VXINBIOGN2KAUH4UGY,previous_response_id:TOKEN-HEWTEBPGAOYDYXCI4D22ARBWKM,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413962,1785413962
TOKEN-PYSSWPTJGB7FK6SO43DUAZWN2I,previous_response_id:TOKEN-VTRP35ZJRCO3ABFKSRN6WXFWLI,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413968,1785413968
TOKEN-6TVAEAQQ6KXJB626H4F4N373XQ,previous_response_id:TOKEN-66GVYYHQOLD5D6LFRN7Q2Y2IAE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413992,1785413992
TOKEN-AHHUQLQYX5MOGRXQTWVK53IN2A,previous_response_id:TOKEN-C77ALMPK5WQY52I3PUROX4WVEU,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414000,1785414000
TOKEN-UTJUXD7Z4CRWASAO463RYHK5QU,previous_response_id:TOKEN-B6RNZZR57QAWMYV43GLLWHLN3I,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785414004,1785414004
TOKEN-QFGCMLZ5HRWT23PE2Z5PNHWUJQ,previous_response_id:TOKEN-3FSDRJOD3UF4GYARXJ3GXC3I44,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414009,1785414009
TOKEN-4CG7T4523PWVZ7QFXE5H4A2LI4,previous_response_id:TOKEN-N46FZX63GUOANUAGZPFCNRKVTI,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414032,1785414032
TOKEN-KDW5X4ISUOQURGBQU32TR5LSZI,previous_response_id:TOKEN-ZCXV7VBYV7G2AWCPQBO7QEQHAU,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785414039,1785414039
TOKEN-N7UMUEMZNVOPXY63VZXGCXB5EY,previous_response_id:TOKEN-DWX7ONC645CI5LIR4S7M6ZPWHU,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414039,1785414039
TOKEN-XP53HGC2OTBTRT5NC4IPDQROJM,previous_response_id:TOKEN-RBJP5XNWGZU64U3CRCQXXNAPJM,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785414050,1785414050
TOKEN-RFMDKDRZWFLGTWVEI6LEE6GDDU,previous_response_id:TOKEN-YMJ5FOEKNNPUI54OTTCQMLMWBY,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414065,1785414065
TOKEN-4UVAVXCBP3DLLGPDF2VXT4K7MM,previous_response_id:TOKEN-YS3K2KR5TLDCKCHUE6QBTCTWEE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414078,1785414078
TOKEN-L2L7NUAB2VGF3YQU36ELTFEIEA,previous_response_id:TOKEN-LX4MXV7HXWYQ76OEUGVF4ANAM4,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785414079,1785414079
TOKEN-DCJR3S4J6MQ6XNNJLQUT5RRSQY,previous_response_id:TOKEN-IP2FELFYCH44BY4F4TBH34BK6Y,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785414098,1785414098
TOKEN-QCQWLW2WZKZASPFYOTSCPVMYGA,previous_response_id:TOKEN-IY55OMCDONRIUPD3WAB4QWB4FA,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414104,1785414104
TOKEN-L7DHJIZOFFFCT2KDTCASRNR6CA,previous_response_id:TOKEN-MCRSY2VVZXYAYW4GGA2NF7VSW4,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785414115,1785414115
